Datestamp,Active Student Cases,Total Student Cases,Active Staff Cases,Total Staff Cases,Quarantined Students,Quarantined Staff,Student Quarantine Factor,Staff Quarantine Factor,Change in Students Quarantined,% Change in Students Quarantined,% Students Quarantined,Change in Active Student Cases,% Change in Active Student Cases,% Students with Active Cases,Change in Total Student Cases,% Change in Total Student Cases,% of Students in Total Student Cases,Student Cases Resolved,Student Cases Newly Resolved,New Student Cases,Change in Staff Quarantined,% Change in Staff Quarantined,Change in Active Staff Cases,% Change in Active Staff Cases,Change in Total Staff Cases,% Change in Total Staff Cases,Staff Cases Resolved,Staff Cases Newly Resolved,New Staff Cases
2021-10-04,200,527,24,68,1600.0,29.0,8.0,1.2083333333333333,-101.0,-5.937683715461493,1.8823529411764703,-37,-15.611814345991561,0.2352941176470588,52,10.947368421052632,0.62,327,89,52,0.0,0.0,-2,-7.6923076923076925,10,17.24137931034483,44,12,10
2021-10-05,194,540,23,74,1571.0,30.0,8.097938144329897,1.3043478260869565,-29.0,-1.8124999999999998,1.848235294117647,-6,-3.0,0.22823529411764706,13,2.4667931688804554,0.6352941176470588,346,19,13,1.0,3.4482758620689653,-1,-4.166666666666666,6,8.823529411764707,51,7,6
2021-10-06,219,595,26,81,1524.0,34.0,6.958904109589041,1.3076923076923077,-47.0,-2.9917250159134308,1.792941176470588,25,12.886597938144329,0.2576470588235294,55,10.185185185185185,0.7000000000000001,376,30,55,4.0,13.333333333333334,3,13.043478260869565,7,9.45945945945946,55,4,7
2021-10-07,219,616,25,83,1488.0,36.0,6.794520547945205,1.44,-36.0,-2.3622047244094486,1.7505882352941176,0,0.0,0.2576470588235294,21,3.5294117647058822,0.7247058823529412,397,21,21,2.0,5.88235294117647,-1,-3.8461538461538463,2,2.4691358024691357,58,3,2
2021-10-08,221,641,23,83,1488.0,29.0,6.733031674208145,1.2608695652173914,0.0,0.0,1.7505882352941176,2,0.91324200913242,0.26,25,4.058441558441558,0.7541176470588236,420,23,25,-7.0,-19.444444444444446,-2,-8.0,0,0.0,60,2,0
2021-10-11,150,662,19,90,1388.0,27.0,9.253333333333334,1.4210526315789473,-100.0,-6.720430107526881,1.6329411764705883,-71,-32.126696832579185,0.17647058823529413,21,3.2761310452418098,0.7788235294117647,512,92,21,-2.0,-6.896551724137931,-4,-17.391304347826086,7,8.433734939759036,71,11,7
2021-10-12,161,697,16,90,1365.0,24.0,8.478260869565217,1.5,-23.0,-1.6570605187319885,1.6058823529411765,11,7.333333333333333,0.18941176470588234,35,5.287009063444108,0.8200000000000001,536,24,35,-3.0,-11.11111111111111,-3,-15.789473684210526,0,0.0,74,3,0
2021-10-13,169,729,13,92,1341.0,19.0,7.93491124260355,1.4615384615384615,-24.0,-1.7582417582417582,1.5776470588235294,8,4.968944099378882,0.1988235294117647,32,4.591104734576758,0.8576470588235294,560,24,32,-5.0,-20.833333333333336,-3,-18.75,2,2.2222222222222223,79,5,2
2021-10-14,184,762,14,97,1362.0,26.0,7.4021739130434785,1.8571428571428572,21.0,1.5659955257270695,1.6023529411764708,15,8.875739644970414,0.2164705882352941,33,4.526748971193416,0.896470588235294,578,18,33,7.0,36.84210526315789,1,7.6923076923076925,5,5.434782608695652,83,4,5
2021-10-15,182,779,14,99,1445.0,27.0,7.93956043956044,1.9285714285714286,83.0,6.093979441997063,1.7000000000000002,-2,-1.0869565217391304,0.21411764705882352,17,2.2309711286089238,0.9164705882352941,597,19,17,1.0,3.8461538461538463,0,0.0,2,2.0618556701030926,85,2,2
